record_id,scenario,expected_annual_loss_nzd,events_exposed,OBJECTID,asset_type,asset_group,asset_id,VALIDATIONSTATE,GlobalID,description,SITE,site_description,local_board,STREETNAME,STREETNUMBER,city,replacement_value_nzd,criticality_score,priority_score,risk_band
park-1333,slr_1m_mitigated,0.0,0,1333,Playground - Public Access,Playground Location,23020-L100-230-EXW-001,3,2a21149e-73be-4ade-a9f6-20f9b816377d,PS_Playground,23020,Wayne Francis Park (Monash Park),Howick,Wayne Francis Drive,93R,Auckland,300000.0,2,0.0,No modelled exposure
park-1334,slr_1m_mitigated,0.0,0,1334,Playground - Public Access,Playground Location,22606-L100-230-EXW-001,3,291a52c4-a226-479e-92d1-aa999e43611f,PS_Playground (Whole)-,22606,Chatham Hill Reserve,Hibiscus and Bays,Cape Cod Drive,15,Auckland,300000.0,2,0.0,No modelled exposure
park-1335,slr_1m_mitigated,0.0,0,1335,Playground - Public Access,Playground Location,22699-L100-230-EXW-001,3,0107c0d1-7289-4b4e-bd6b-bacfefc8ba6f,PS_Playground,22699,Kingseat Recreation Reserve,Franklin,Mcrobbie Road,,Auckland,300000.0,2,0.0,No modelled exposure
park-1337,slr_1m_mitigated,0.0,0,1337,Playground - Public Access,Playground Location,21316-L100-230-EXW-001,3,b7563328-6bbf-4281-9425-f7a42a8e2c06,PS_Playground,21316,Armoy Park (Amylynn Place Reserve),Howick,Carlingford Drive,2R,Auckland,300000.0,2,0.0,No modelled exposure
park-1338,slr_1m_mitigated,0.0,0,1338,Playground - Public Access,Playground Location,10304-L100-230-EXW-001,3,dcabdf0a-cab1-4b61-a12e-fa5cfe28eddb,PS_Playground,10304,Salisbury Reserve,Waitemata,Salisbury Street,19,Auckland,300000.0,2,0.0,No modelled exposure
park-1339,slr_1m_mitigated,0.0,0,1339,Playground - Public Access,Playground Location,10396-L100-230-EXW-001,3,7a28e1a0-98fd-445e-b4f4-a229e41eead0,PS_Playground Rj778,10396,Mt Albert War Memorial Reserve,Albert-Eden,New North Road,751-773,Auckland Central,300000.0,2,0.0,No modelled exposure
park-134,slr_1m_mitigated,0.0,0,134,Public Toilet,Building Level 3,10407-B001-101,3,c119a554-78b1-48c4-8fc9-744fbc999f1a,Toilet - T1 (Mt Well War Memo. Reserve),10407,Mt Wellington War Memorial Reserve,Maungakiekie-Tamaki,Dunkirk Road,50,Auckland Central,450000.0,3,0.0,No modelled exposure
park-1340,slr_1m_mitigated,0.0,0,1340,Playground - Public Access,Playground Location,10408-L100-230-EXW-001,3,b4cc4a04-1b66-40ab-806f-1d3f85e3ef61,PS_Playground_By Community Centre,10408,Crossfield Reserve,Orakei,Crossfield Road,83,Auckland,300000.0,2,0.0,No modelled exposure
park-1341,slr_1m_mitigated,0.0,0,1341,Playground - Public Access,Playground Location,10288-L100-230-EXW-001,3,de81fdfa-7f94-4726-892e-deb95fa6eecd,PS_Playground Waterview,10288,Waterview Reserve,Albert-Eden,Herdman Street,19,Auckland,300000.0,2,0.0,No modelled exposure
park-1342,slr_1m_mitigated,0.0,0,1342,Playground - Public Access,Playground Location,21126-L100-230-EXW-001,3,5b53c43e-fbf1-409a-9abf-b6f5676ed11b,PS_Playground (Whole)-,21126,Selwyn Reserve - Forrest Hill,Devonport-Takapuna,Selwyn Crescent,53,Auckland,300000.0,2,0.0,No modelled exposure
park-1343,slr_1m_mitigated,0.0,0,1343,Playground - Public Access,Playground Location,21383-L100-230-EXW-001,3,999a4b24-504a-4d7a-88e2-3a683028e720,PS_Playground Kuaka Park,21383,Kuaka Park,Albert-Eden,Oakley Avenue,40,Auckland,300000.0,2,0.0,No modelled exposure
park-1344,slr_1m_mitigated,0.0,0,1344,Playground - Public Access,Playground Location,10317-L100-230-EXW-001,3,e6462553-bcde-41e9-9480-7b748a029236,PS_Playground Rdm50,10317,Massey Reserve,Maungakiekie-Tamaki,Massey Avenue,21-27,Auckland Central,300000.0,2,0.0,No modelled exposure
park-1345,slr_1m_mitigated,0.0,0,1345,Playground - Public Access,Playground Location,10000-L100-230-EXW-001,3,4bea8fad-5155-4490-93e0-7095075ec197,PS_Playground Rec30,10000,Francis Reserve,Waitemata,Warnock Street,4,Auckland,300000.0,2,0.0,No modelled exposure
park-1346,slr_1m_mitigated,0.0,0,1346,Playground - Public Access,Playground Location,10277-L100-230-EXW-001,3,5388f362-485d-4406-bd53-b508b894e8a0,PS_Playground Myers Park,10277,Myers Park,Waitemata,Greys Avenue,72,Auckland,300000.0,2,0.0,No modelled exposure
park-1347,slr_1m_mitigated,0.0,0,1347,Playground - Public Access,Playground Location,21523-L100-230-EXW-001,3,e41c5078-521e-4c5c-862d-9bde79fb9e8b,PS_Playground-Next to 416 Panama Rd,21523,Flat Rock Reserve,Maungakiekie-Tamaki,Panama Road,416A,Auckland,300000.0,2,0.0,No modelled exposure
park-1348,slr_1m_mitigated,0.0,0,1348,Playground - Public Access,Playground Location,11420-L100-230-EXW-002,3,4d967dcd-906e-43b1-82a2-96a0fe7b9a99,PS_Playground,11420,Starling Park,Henderson-Massey,Glen Road,34-44,Auckland,300000.0,2,0.0,No modelled exposure
park-1349,slr_1m_mitigated,0.0,0,1349,Playground - Public Access,Playground Location,23096-L100-230-EXW-001,3,bd7eac27-ff14-4f7f-9343-b8729edffedb,PS_Playground-By Path from Kupe St,23096,Kupe North Reserve,Orakei,Kupe Street,97,Auckland,300000.0,2,0.0,No modelled exposure
park-1350,slr_1m_mitigated,0.0,0,1350,Playground - Exclusive Access,Playground Location,10144-L100-230-EXW-001,3,155a5e3e-f8fe-452f-a5b0-219564f8e66b,PS_Playground Grey Lynn Comm Centre,10144,Grey Lynn Community Centre,Waitemata,Richmond Road,510,Auckland,300000.0,2,0.0,No modelled exposure
park-1351,slr_1m_mitigated,0.0,0,1351,Playground - Public Access,Playground Location,21673-L100-230-EXW-001,3,24091ef4-5cde-43d7-9ede-352c3a1c9158,PS_Playground-Jnr-Rd frontage Dallas Pl,21673,Dallas Reserve,Whau,Dallas Place,4,Auckland,300000.0,2,0.0,No modelled exposure
