record_id,asset_id,asset_type,local_board,replacement_value_nzd,description,site_description,asset_group,planning_area,criticality_score,untreated_eal_nzd,treated_eal_nzd,avoided_annual_loss_nzd,modelled_loss_reduction_pct,base_capital_cost_nzd,cost_multiplier,capital_cost_nzd,annual_om_cost_nzd,analysis_years,real_discount_rate,pv_avoided_loss_nzd,pv_om_cost_nzd,pv_lifecycle_cost_nzd,illustrative_npv_nzd,illustrative_bcr,break_even_capex_nzd,discounted_payback_year,payback_status,assumption_set,analysis_status
park-199,10530-B001-151,Public Toilet,Franklin,450000.0,Toilet- (Grahams Beach Reserve)- Shower,Grahams Beach Road Reserve,Building Level 3,Franklin,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-2005,11274-B032-151,Public Toilet,Rodney,450000.0,New Toilet-Whangateau Holiday Park,"Whangateau Reserve, Holiday Park & Hall",Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-2009,21994-B001-151,Public Toilet,Upper Harbour,450000.0,Public toilet,Hobsonville Esplanade,Building Level 3,Upper Harbour,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-2019,11274-B031-151,Public Toilet,Rodney,450000.0,New Toilet-Whangateau Hall Grounds,"Whangateau Reserve, Holiday Park & Hall",Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-222,10626-B001-151,Public Toilet,Franklin,450000.0,Kawakawa Bay Boat Ramp Toilet & Change,Kawakawa Coast Rd Reserve,Building Level 3,Franklin,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-253,10754-B002-151,Public Toilet,Howick,450000.0,Toilet-Sailing Club(Bramley Drive Res),Bramley Drive Reserve,Building Level 3,Howick,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-255,10782-B001-151,Public Toilet,Howick,450000.0,Eastern Beach Central Toilet (Novaloo),Eastern Beach Playground Park,Building Level 3,Howick,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-259,10791-B003-151,Public Toilet,Franklin,450000.0,Kawakawa Bay Central Toilet and Chng Blk,Rautawa Place Reserve,Building Level 3,Franklin,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-292,10480-B009-151,Public Toilet,Rodney,450000.0,Vault Toilet 10 Behind Woolshed - Tawh,Tawharanui Regional Park,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-296,11107-B001-151,Public Toilet,Kaipatiki,450000.0,Toilet (Little Shoal Bay Reserve),Little Shoal Bay Reserve/Dudding Park,Building Level 3,Kaipatiki,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-336,11274-B022-100,Public Toilet,Rodney,450000.0,Toilet-Whangateau Domain,"Whangateau Reserve, Holiday Park & Hall",Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-337,11275-B003-151,Public Toilet,Hibiscus and Bays,450000.0,Toilet-(Stanmore Bay Recre Res)(Park),Stanmore Bay Park,Building Level 3,Hibiscus and Bays,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-36,10020-B001-151,Public Toilet,Maungakiekie-Tamaki,450000.0,Toilet - T10 (Panmure Basin Yacht Club),Panmure Basin/Peterson Reserve,Building Level 3,Maungakiekie-Tamaki,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-369,20660-B001-151,Public Toilet,Franklin,450000.0,Toilet- (Glenbrook Beach Beachfront),Glenbrook Beach Beachfront,Building Level 3,Franklin,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-372,20935-B001-151,Public Toilet,Maungakiekie-Tamaki,450000.0,Toilet - Taumanu Reserve,Taumanu Reserve,Building Level 3,Maungakiekie-Tamaki,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-373,21160-B001-151,Public Toilet,Devonport-Takapuna,450000.0,Toilet-Castor Bay Beach Public Toilets,Rahopara Pa (Kennedy Point),Building Level 3,Devonport-Takapuna,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-377,21866-B001-151,Public Toilet,Orakei,450000.0,Toilet-St Heliers Bay Beach Rserve (H41),St Heliers Bay Beach Reserve,Building Level 3,Orakei,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-380,21933-B001-151,Public Toilet,Franklin,450000.0,Toilet-End Of Driveway Into Reserve,Sandspit Reserve - Waiuku,Building Level 3,Franklin,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-381,21986-B002-151,Public Toilet,Howick,450000.0,Toilet-By carpark Sth end of The Parade,Eastern Beach Caravan Park,Building Level 3,Howick,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-383,22165-B001-151,Public Toilet,Rodney,450000.0,Toilet-15m East Of Boatramp,Point Wells Foreshore Reserve,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-384,22175-B001-151,Public Toilet,Rodney,450000.0,Toilet-Opposite Wharf,Port Albert Wharf Reserve,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-391,22420-B001-151,Public Toilet,Hibiscus and Bays,450000.0,Toilet-(Dacre Historic & Esplanade Res),Dacre Historic & Esplanade Reserve,Building Level 3,Hibiscus and Bays,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-392,22448-B001-151,Public Toilet,Rodney,450000.0,Toilet- (Campbells Beach Reserve),Campbells Beach Reserve,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-398,23310-B001-151,Public Toilet,Mangere-Otahuhu,450000.0,Toilet-Waterfront Rd Res-Coronation Rd,Waterfront Road Reserve,Building Level 3,Mangere-Otahuhu,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-408,10488-B087-151,Public Toilet,Waitakere Ranges,450000.0,Toilet - Kakamatua Composting - Wtks,Waitakere South Regional Park,Building Level 3,Waitakere Ranges,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-442,10927-B001-151,Public Toilet,Kaipatiki,450000.0,Onepoto Domain Toilets,Onepoto Domain,Building Level 3,Kaipatiki,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-472,11299-B001-151,Public Toilet,Rodney,450000.0,Toilet- (Birds Beach Recreation Reserve),Birds Beach Recreation Reserve,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-488,11275-B002-151,Public Toilet,Hibiscus and Bays,450000.0,Toilet-(Stanmore Bay Recreation Reserve),Stanmore Bay Park,Building Level 3,Hibiscus and Bays,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-493,11323-B003-151,Public Toilet,Rodney,450000.0,Parakai Toilet - 30m NE of Camp Entrance,Kaipatiki Recreation Reserve,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-498,11369-B001-151,Public Toilet,Waitakere Ranges,450000.0,Toilet-Titirangi Beach,Titirangi Beach,Building Level 3,Waitakere Ranges,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-5,10035-B001-151,Public Toilet,Waiheke,450000.0,Toilet - Wi10 (Wharf Road),Ostend Domain,Building Level 3,Waiheke-Great Barrier,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-525,20073-B001-151,Public Toilet,Hibiscus and Bays,450000.0,Rothesay Bay Beach Public Toilets,Rothesay Bay Beach Reserve,Building Level 3,Hibiscus and Bays,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-544,21063-B001-151,Public Toilet,Waitakere Ranges,450000.0,Toilet- (Wood Bay Reserve)Water Front,Wood Bay Reserve,Building Level 3,Waitakere Ranges,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-554,21827-B001-151,Public Toilet,Howick,450000.0,Toilet-At Rear Of Reserve,Bucklands Beach Toilet Reserve,Building Level 3,Howick,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-556,22237-B002-151,Public Toilet,Rodney,450000.0,Toilet-At Ferry Terminal,Sandspit Reserve - Rodney,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-558,22354-B001-151,Public Toilet,Rodney,450000.0,Toilet-Next To Boat Ramp Sea End Of,Ariki Reserve,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-559,22373-B001-151,Public Toilet,Rodney,450000.0,Toilet- (Cement Works)New Toilet Block,Cement Works,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-562,22445-B001-151,Public Toilet,Rodney,450000.0,Toilet-Btwn Sign & Tennis Courts,Baddeleys Beach Reserve,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-589,20119-B004-151,Public Toilet,Rodney,450000.0,Toilet-100m Before Pakiri Beach Parking,Streetscape - Rodney,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-592,20546-B001-151,Public Toilet,Hibiscus and Bays,450000.0,Toilet- (Kinloch Reserve)Carpark,Kinloch Reserve,Building Level 3,Hibiscus and Bays,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-595,20805-B001-151,Public Toilet,Franklin,450000.0,Toilet- (Halls Beach),Clarks Beach-Halls Beach Access,Building Level 3,Franklin,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-596,20823-B001-151,Public Toilet,Puketapapa,450000.0,Toilet-Taylors Bay Road Reserve,Taylors Bay Road Reserve,Building Level 3,Puketapapa,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-60,10154-B002-151,Public Toilet,Orakei,450000.0,Toilets - Middle Of Domain,Selwyn Reserve - Mission Bay,Building Level 3,Orakei,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-604,21798-B002-151,Public Toilet,Orakei,450000.0,Toilet Novaloo by playground,Okahu Bay Reserve,Building Level 3,Orakei,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-608,22237-B003-151,Public Toilet,Rodney,450000.0,Toilet-concrete(Sandspit Res) Playground,Sandspit Reserve - Rodney,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-639,10158-B003-151,Public Toilet,Mangere-Otahuhu,450000.0,Toilet-T39 (Seaside Park)-By carpark,Seaside Park,Building Level 3,Mangere-Otahuhu,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-667,10479-B005-151,Public Toilet,Hibiscus and Bays,450000.0,Toilet Block Okoromai Bay - Shak,Te Haruhi/Shakespear Regional Park,Building Level 3,Hibiscus and Bays,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-668,10480-B010-151,Public Toilet,Rodney,450000.0,Vault Toilet 9 Jones Bay - Tawh,Tawharanui Regional Park,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-669,10480-B013-151,Public Toilet,Rodney,450000.0,Vault Toilet Camp Bay 6 - Tawh,Tawharanui Regional Park,Building Level 3,Rodney,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
