record_id,asset_id,description,site_description,asset_type,asset_group,local_board,planning_area,replacement_value_nzd,criticality_score,coastal_current_eal_nzd,coastal_slr_1m_eal_nzd,liquefaction_overlap_matches,liquefaction_vulnerability,liquefaction_mapped,liquefaction_review_flag,liquefaction_unrecognised_category,coastal_current_exposed,coastal_slr_1m_exposed,screening_flag_count,screening_attention
park-709,10891-B001-151,Papatoetoe Library,Papatoetoe Library,Library,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,15000000.0,5,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-710,10936-B001-151,Collins Park Exeloo,Collins Park,Public Toilet,Building Level 3,Upper Harbour,Upper Harbour,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-711,10940-B001-100,Archives Storage,Takapuna Library/War Memorial Hall,Library,Building Level 3,Devonport-Takapuna,Devonport-Takapuna,15000000.0,5,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-712,10940-B001-157,Takapuna Library - Ground,Takapuna Library/War Memorial Hall,Library,Building Level 3,Devonport-Takapuna,Devonport-Takapuna,15000000.0,5,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-713,10940-B001-158,Takapuna Library - Level 01,Takapuna Library/War Memorial Hall,Library,Building Level 3,Devonport-Takapuna,Devonport-Takapuna,15000000.0,5,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-715,10996-B001-151,Toilet - Public Toilets Milford Shops,Milford Shops Public Toilets,Public Toilet,Building Level 3,Devonport-Takapuna,Devonport-Takapuna,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-72,10166-B002-100,Mount Albert Library,Mount Albert Community Library,Library,Building Level 3,Albert-Eden,Albert-Eden,15000000.0,5,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-720,11104-B001-151,Hinemoa Street Public Toilets,Hinemoa Park,Public Toilet,Building Level 3,Kaipatiki,Kaipatiki,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-722,11138-B001-151,Kaipatiki Park Exeloo,Kaipatiki Park,Public Toilet,Building Level 3,Kaipatiki,Kaipatiki,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-723,11156-B001-151,Drury Domain Public Toilets,Drury Domain,Public Toilet,Building Level 3,Papakura,Papakura,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-725,11341-B001-151,Toilet-(Ranui Domain)North Of Entrance,Ranui Domain,Public Toilet,Building Level 3,Henderson-Massey,Henderson-Massey,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-727,11346-B001-102,Toilet-(Rene Shadbolt) facing fields,Sister Rene Shadbolt Park,Public Toilet,Building Level 3,Whau,Whau,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-728,11376-B002-151,Toilet-(Te Pai Park),Te Pai Park,Public Toilet,Building Level 3,Henderson-Massey,Henderson-Massey,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-729,11390-B001-151,Toilet- (Hobsonville War Memorial),Hobsonville War Memorial,Public Toilet,Building Level 3,Upper Harbour,Upper Harbour,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-73,10194-B002-151,Toilet - T35 (Waikaraka Park),Waikaraka Park,Public Toilet,Building Level 3,Maungakiekie-Tamaki,Maungakiekie-Tamaki,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-731,11417-B001-151,Toilet- (La Rosa Garden Reserve),La Rosa Garden Reserve,Public Toilet,Building Level 3,Whau,Whau,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-732,11436-B005-151,Toilet-(Lloyd Morgan Lions Club Park),Lloyd Morgan Lions Club Park,Public Toilet,Building Level 3,Henderson-Massey,Henderson-Massey,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-733,11480-B001-151,Toilet-Massey Domain,Massey Domain,Public Toilet,Building Level 3,Henderson-Massey,Henderson-Massey,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-734,11486-B003-151,Toilet-(Moire Park)Appr 130m Along Drive,Moire Park,Public Toilet,Building Level 3,Henderson-Massey,Henderson-Massey,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-735,11491-B005-151,Waitakere View Toilet,Waikumete Cemetery,Public Toilet,Building Level 3,Waitakere Ranges,Waitakere Ranges,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-736,20001-B002-151,Toilet- (Reserve - Adj Papakura Ser Ctr),Village Green (Papakura Service Centre),Public Toilet,Building Level 3,Papakura,Papakura,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-737,20006-B001-151,Normanton Reserve Toilets,Normanton Reserve,Public Toilet,Building Level 3,Kaipatiki,Kaipatiki,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-739,20015-B001-151,Bayswater Marina Public Toilet (North),Bayswater Marina Public Toilets,Public Toilet,Building Level 3,Devonport-Takapuna,Devonport-Takapuna,450000.0,3,0.0,0.0,0,Not mapped,False,False,False,False,False,0,No elevated flag
park-74,10198-B001-151,Toilet - E11 (Fearon Park),Fearon Park,Public Toilet,Building Level 3,Puketapapa,Puketapapa,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-741,20024-B002-151,Toilet- (Silverdale War Memorial Park),Silverdale War Memorial Park,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-742,20028-B001-151,Beach Haven Shops Public Toilets,Beach Haven Shops Public Toilets,Public Toilet,Building Level 3,Kaipatiki,Kaipatiki,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-743,20050-B001-151,Belmont Shops Public Toilet,Belmont Shops Public Toilets,Public Toilet,Building Level 3,Devonport-Takapuna,Devonport-Takapuna,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-744,20111-B001-151,Toilet-Beside Leal Place Parking Area,Streetscape - Hibiscus and Bays,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-746,20111-B103-151,Torbay Shops Exeloo Number 2,Streetscape - Hibiscus and Bays,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-748,20119-B005-151,"Toilet - 10 Hamatana Road, Snells Beach",Streetscape - Rodney,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-75,10218-B001-151,Toilet - H34 (Glover Park),Glover Park,Public Toilet,Building Level 3,Orakei,Orakei,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-750,20454-B001-151,Toilet-Back Corner Of Parking Area,Hingaia Reserve,Public Toilet,Building Level 3,Papakura,Papakura,450000.0,3,0.0,0.0,0,Not mapped,False,False,False,False,False,0,No elevated flag
park-754,20619-B001-151,Toilet (Whenua Rangatira),Whenua Rangatira,Public Toilet,Building Level 3,Orakei,Orakei,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-755,20627-B001-151,Toilet-Cnr Silvedale St & Wainui Rd,Silverdale Reserve,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-756,20672-B001-151,Toilet - G3 (Mulberry Grove),Mulberry Grove Reserve & School,Public Toilet,Building Level 3,Aotea/Great Barrier,Waiheke-Great Barrier,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-759,21048-B001-151,Toilet- (Waima Reserve)At NE Corner,Waima Reserve,Public Toilet,Building Level 3,Waitakere Ranges,Waitakere Ranges,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-760,21119-B001-151,Rewi Alley Reserve Toilet,Rewi Alley Reserve,Public Toilet,Building Level 3,Kaipatiki,Kaipatiki,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-761,21132-B001-151,Toilet- (Green Bay Beach)East End,Green Bay Beach,Public Toilet,Building Level 3,Whau,Whau,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-762,21368-B001-151,Hobsonville Point Park Toilet,Hobsonville Point Park,Public Toilet,Building Level 3,Upper Harbour,Upper Harbour,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-763,21383-B001-151,Toilet Kuaka Park,Kuaka Park,Public Toilet,Building Level 3,Albert-Eden,Albert-Eden,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-764,21411-B001-151,Toilet- (Sturges Park & Ride)SW Corner,Sturges Park & Ride,Public Toilet,Building Level 3,Henderson-Massey,Henderson-Massey,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-767,21535-B001-152,Changing Rooms,McManus Park,Changing Shed,Building Level 3,Maungakiekie-Tamaki,Maungakiekie-Tamaki,650000.0,2,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-768,21720-B001-151,Toilet- (Pahiki Reserve)Twin Wharf Road,Pahiki Reserve,Public Toilet,Building Level 3,Upper Harbour,Upper Harbour,450000.0,3,0.0,0.0,0,Not mapped,False,False,False,False,False,0,No elevated flag
park-77,10174-B001-151,Toilet - Wi20 (Shelly Beach Norski),Putiki Reserve,Public Toilet,Building Level 3,Waiheke,Waiheke-Great Barrier,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
